"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"portusOvalStructure","Oval Structure at Portus","Portus Oval Structure","Portus","https://pleiades.stoa.org/places/423012","","","oval-structure","none","second-century",False,2000,"Italy","regio-i","VM28C388","",False,,,42,38,,12.25809,41.781816,2
"montbouyGalloRomanAmphitheater","Gallo-Roman Amphitheater at Montbouy","Montbouy","","https://pleiades.stoa.org/places/138468","","","gallo-roman-amphitheater","good","imperial",False,,"France","lugdunensis","","",False,48,31,,,,2.819017,47.87286,122
"statiliusTaurusAmphitheater","Amphitheater of Statilius Taurus","Statilius Taurus","Roma","https://pleiades.stoa.org/places/423025","","","amphitheater","none","augustan",False,,"Italy","regio-i","","https://amphi-theatrum.de/1476.html",True,,,,,,12.469869,41.899614,22
"hisaryaAmphitheater","Amphitheater at Hisarya","Hisarya","Diocletianopolis","https://pleiades.stoa.org/places/216792","","","amphitheater","good","imperial",True,,"Bulgaria","thracia","","https://amphi-theatrum.de/2003.html",False,41,,,,,24.703104,42.500071,362
"mesarafeltaAmphitheater","Amphitheater at Mesarfelta","Mesarfelta","Mesarfelta","https://pleiades.stoa.org/places/334592","","45","amphitheater","none","second-century",True,,"Algeria","mauretania","FPC6XYXG","https://amphi-theatrum.de/1446.html",True,,,,,,5.592835,35.036203,271
"tigavaCastraAmphitheater","Amphitheater at Tigava Castra","Tigava Castra","Tigava Castra","https://pleiades.stoa.org/places/295357","","46","amphitheater","none","second-century",True,2300,"Algeria","mauretania","","https://amphi-theatrum.de/1498.html",False,44,26,56,37,,1.651389,36.23195,151
"carpisAmphitheater","Amphitheater at Carpis","Carpis","Carpis","https://pleiades.stoa.org/places/314920","","65","amphitheater","none","second-century",True,,"Tunisia","proconsularis","","https://amphi-theatrum.de/1316.html",True,,,,,,10.557673,36.760727,29
"altinumAmphitheater","Amphitheater at Altinum","Altinum","Altinum","https://pleiades.stoa.org/places/393374","","","amphitheater","none","imperial",True,,"Italy","regio-x","","",False,80,58,143,103,,12.399911,45.548996,1
"augustaBagiennorumAmphitheater","Amphitheater at Augusta Benniorum","Augusta Bagiennorum","Augusta Bagiennorum","https://pleiades.stoa.org/places/383578","","79","amphitheater","partial","julio-claudian",True,,"Italy","regio-ix","","https://amphi-theatrum.de/1511.html",False,,,104,78,,7.85031,44.556438,340
"aostaAmphitheater","Amphitheater at Aosta","Aosta","Augusta Praetoria","https://pleiades.stoa.org/places/383579","","132","amphitheater","street-plan","julio-claudian",True,9770,"Italy","regio-xi","","https://amphi-theatrum.de/2745.html",False,42,31,86,76,,7.323481,45.740914,595
