"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","visibility","chronogroup","secondcentury","capacity","modcountry","romanregion","zotero","amphitheatrum","dimensionsunknown","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"antiochAmphitheater","Amphitheater at Antioch","Antioch","Antiochia","https://pleiades.stoa.org/places/658381","19","","amphitheater","none","caesarean",True,,"Turkey","syria","","https://amphi-theatrum.de/2603.html",True,,,,,,36.160437,36.202624,89
"cyzicusAmphitheater","Amphitheater at Cyzicus","Cyzicus","Cyzicus","https://pleiades.stoa.org/places/511218","","","amphitheater","poor","imperial",True,,"Turkey","asia","","https://amphi-theatrum.de/1561.html",False,,,150,100,,27.884552,40.398213,54
"sabrathaAmphitheater","Amphitheater at Sabratha","Sabratha","Sabratha","https://pleiades.stoa.org/places/344282","","120","amphitheater","good","second-century",True,20700,"Libya","proconsularis","","https://amphi-theatrum.de/1327.html",False,65,49,115,99,,12.49404,32.803879,11
"salamisAmphitheater","Amphitheater at Salamis","Salamis","Salamis","https://pleiades.stoa.org/places/707617","","","amphitheater","poor","imperial",True,,"Cyprus","cyprus","","https://amphi-theatrum.de/2001.html",True,,,,,,33.902435,35.185517,6
"paphosAmphitheater","Amphitheater at Paphos","Paphos","Nea Paphos","https://pleiades.stoa.org/places/707586","","","amphitheater","poor","imperial",True,,"Cyprus","cyprus","","https://amphi-theatrum.de/1984.html",False,,,70,,,32.405344,34.754942,6
"carmarthenAmphitheater","Amphitheater at Carmarthen","Carmarthen","Moridunum","https://pleiades.stoa.org/places/79602","","","amphitheater","partial","second-century",True,,"United Kingdom","britannia","GMMHKTIJ","https://amphi-theatrum.de/1440.html",False,46,27,92,67,,-4.296651,51.862005,29
"caerwentAmphitheater","Amphitheater at Caerwent","Caerwent","Venta Silurum","https://pleiades.stoa.org/places/79733","","128","amphitheater","none","imperial",True,3532,"United Kingdom","britannia","","",False,44,35,63,53,,-2.766307,51.612173,25
"tomen-y-murAmphitheater","Amphitheater at Tomen y Mur","Tomen y Mur","","https://pleiades.stoa.org/places/142376597","","31","amphitheater","poor","imperial",True,2772,"United Kingdom","britannia","","https://amphi-theatrum.de/1439.html",False,35,28,52,46,,-3.9235,52.931893,295
"thaenaeAmphitheater","Amphitheater at Thaenae","Thaenae","Thaenae","https://pleiades.stoa.org/places/324825","","71","amphitheater","poor","second-century",True,8700,"Tunisia","proconsularis","","https://amphi-theatrum.de/1332.html",False,62,33,90,61,,10.673126,34.655481,7
"sbeitlaAmphitheater","Amphitheater at Sbeitla","Sbeitla","Sufetula","https://pleiades.stoa.org/places/324816","","113","amphitheater","poor","second-century",True,6500,"Tunisia","proconsularis","","https://amphi-theatrum.de/1331.html",False,47,37,72,60,,9.114582,35.243617,556
"tebessaAmphitheater","Amphitheater at Theveste","Tebessa","Theveste","https://pleiades.stoa.org/places/324831","","","amphitheater","good","flavian",True,9400,"Algeria","proconsularis","","https://amphi-theatrum.de/1336.html",False,52.8,39.5,83,70,,8.123809,35.401171,877
"trierAmphitheater","Amphitheater at Trier","Trier","Augusta Treverorum","https://pleiades.stoa.org/places/108894","","41","amphitheater","good","third-century",True,8742,"Germany","belgica","VSSBREEF","https://amphi-theatrum.de/1494.html",False,71,49,100,79,,6.649088,49.748052,168
"susaAmphitheater","Amphitheater at Susa","Susa","Segusio","https://pleiades.stoa.org/places/167919","","15","amphitheater","good","imperial",True,3015,"Italy","alpes-cottiae","","https://amphi-theatrum.de/2968.html",False,44,36,60,52,,7.04497,45.133185,546
"ivreaAmphitheater","Amphitheater at Ivrea","Ivrea","Eporedia","https://pleiades.stoa.org/places/383642","","55","amphitheater","good","late-first-century",True,8046,"Italy","regio-xi","","https://amphi-theatrum.de/1502.html",False,67,42,96,72,,7.887734,45.467767,240
"bararusAmphitheater","Amphitheater at Bararus","Rougga","Bararus","https://pleiades.stoa.org/places/324673","","187","amphitheater","good","severan",False,12100,"Tunisia","proconsularis","","https://amphi-theatrum.de/1313.html",False,63.75,37.5,98,73.5,,10.791226,35.211828,68
"castraAlbanaAmphitheater","Amphitheater at Castra Albana","Albana Laziale","Castra Albana","https://pleiades.stoa.org/places/422885","","190","amphitheater","good","severan",False,15538,"Italy","regio-i","","https://amphi-theatrum.de/1567.html",False,67.5,45,116.5,94,,12.66501,41.732637,454
"sophiaAmphitheater","Amphitheater at Sophia","Sophia","Ulpia Serdica","https://pleiades.stoa.org/places/207439","","","amphitheater","partial","post-severan",False,20000,"Bulgaria","thracia","","https://amphi-theatrum.de/1738.html",False,60.5,43,,,,23.32865,42.697178,554
"ptolemaisAmphitheater","Amphitheater at Ptolemais","Ptolemais","Ptolemais","https://pleiades.stoa.org/places/373879","","76","amphitheater","good","imperial",True,10878,"Libya","crete-et-cyrenaica","","https://amphi-theatrum.de/1509.html",False,47.5,44.5,89,86,,20.945728,32.707953,12
"toulouseAmphitheater","Amphitheater at Toulouse","Toulouse","Tolosa","https://pleiades.stoa.org/places/246694","","98","amphitheater","poor","imperial",True,16336,"France","narbonensis","","https://amphi-theatrum.de/1524.html",False,59,49,111,101,,1.397664,43.614808,149
"caparraAmphitheater","Amphitheater at Caparra","Caparra","Municipium Flavium Caparense","https://pleiades.stoa.org/places/236405","","","amphitheater","good","imperial",True,,"Spain","lusitania","","https://amphi-theatrum.de/2791.html",False,30,19,,,,-6.100049,40.164159,405
"cordobaAmphitheater","Amphitheater at Cordoba","Cordoba","Colonia Patricia","https://pleiades.stoa.org/places/256128","","","amphitheater","none","first-century",True,,"Spain","baetica","","",False,,,178,145,,-4.788888,37.884183,125
"ateguaAmphitheater","Amphitheater at Ancient Ategua","Ategua","Ategua","https://pleiades.stoa.org/places/265808","","","amphitheater","partial","first-century",True,6000,"Spain","baetica","","",False,27,,44,,,-4.573101,37.755197,295
"lillebonnAmphitheater","Amphitheater at Lillebonne","Lillebonne","Iuliobona","https://pleiades.stoa.org/places/109069","","19","gallo-roman-amphitheater","partial","first-century",False,7245,"France","lugdunensis","","https://amphi-theatrum.de/1482.html",False,48,45,78,75,,0.536724,49.517759,19
"besanconAmphitheater","Amphitheater at Besançon","Besançon","Vesontio","https://pleiades.stoa.org/places/177657","","158","amphitheater","none","second-century",True,13816,"France","germania-superior","8LNKGJPW","https://amphi-theatrum.de/1551.html",False,62,37,110,85,,6.015942,47.239027,246
"limogesAmphitheater","Amphitheater at Limoges","Limoges","Augustoritum","https://pleiades.stoa.org/places/138203","","156","amphitheater","none","second-century",True,24795,"France","aquitania","LD7NNHSG","https://amphi-theatrum.de/1549.html",False,68,48,137,116,,1.251841,45.830474,304
"poitiersAmphitheater","Amphitheater at Poitiers","Poitiers","Limonum Pictonum","https://pleiades.stoa.org/places/138422","","137","amphitheater","street-plan","julio-claudian",True,33250,"France","aquitania","LD7NNHSG","https://amphi-theatrum.de/1381.html",False,72,47,156,130,,0.339589,46.57815,119
"reimsAmphitheater","Amphitheater at Reims","Reims","Durocortorum","https://pleiades.stoa.org/places/108945","","","amphitheater","none","imperial",True,,"France","belgica","RRUTEYQI","https://amphi-theatrum.de/1394.html",False,,,122,100,,4.018775,49.261265,80
"rodezAmphitheater","Amphitheater at Rodez","Rodez","Segodunum","https://pleiades.stoa.org/places/138579","","22","amphitheater","none","imperial",True,18546,"France","aquitania","LD7NNHSG","https://amphi-theatrum.de/1484.html",False,42,30,110,97,,2.571162,44.353698,611
"milanAmphitheater","Amphitheater at Milan","Milan","Mediolanum","https://pleiades.stoa.org/places/383706","","97","amphitheater","partial","first-century",True,31649,"Italy","regio-xi","","https://amphi-theatrum.de/1523.html",False,74,44,155,125,,9.178518,45.456898,116
"aquileiaAmphitheater","Amphitheater at Aquileia","Aquileia","Aquileia","https://pleiades.stoa.org/places/187290","","141","amphitheater","none","flavian",True,26114,"Italy","regio-x","","https://amphi-theatrum.de/2678.html",False,72,46,142,118,,13.370713,45.768239,2
"paduaAmphitheater","Amphitheater at Padua","Padua","Patavium","https://pleiades.stoa.org/places/393473","","90","amphitheater","good","julio-claudian",True,7256,"Italy","regio-x","","https://amphi-theatrum.de/1399.html",False,76.4,39.5,102.5,65.5,,11.879039,45.411483,17
"lecceAmphitheater","Amphitheater at Lecce","Lecce","Lupiae","https://pleiades.stoa.org/places/442642","","133","amphitheater","partial","trajanic",True,13440,"Italy","regio-ii","","https://amphi-theatrum.de/1389.html",False,53.1,34.2,101.9,83,,18.172733,40.352463,51
"terminiImereseAmphitheater","Amphitheater at Termini Imerese","Termini","Thermae Himerae","https://pleiades.stoa.org/places/462513","","164","amphitheater","none","flavian",True,26114,"Italy","sicilia","","https://amphi-theatrum.de/1555.html",False,53,30,98,75,,13.695186,37.983696,76
"sanBenedettoDeiMarsiAmphitheater","Amphitheater at San Benedetto dei Marsi","San Benedetto","Marruvium","https://pleiades.stoa.org/places/432927","","","amphitheater","good","imperial",True,,"Italy","regio-iv","9GGW7DWK","https://amphi-theatrum.de/1601.html",False,,,101,,,13.627505,42.006504,683
"monteleoneAmphitheater","Amphitheater at Monteleone","Monteleone","Trebula Mutuesca","https://pleiades.stoa.org/places/413350","","58","amphitheater","good","second-century",True,,"Italy","regio-iv","","https://amphi-theatrum.de/1504.html",False,61,35,94,66,,12.867528,42.228444,495
"bolsenaAmphitheater","Amphitheater at Bolsena","Bolsena","Volsinii Novi","https://pleiades.stoa.org/places/413389","","163","amphitheater","partial","flavian",True,11000,"Italy","regio-vii","","https://amphi-theatrum.de/1554.html",False,59,42,100,84,,11.990158,42.650243,417
"anconaAmphitheater","Amphitheater at Ancona","Ancona","Ancona","https://pleiades.stoa.org/places/413014","","78","amphitheater","partial","julio-claudian",True,14168,"Italy","regio-v","","https://amphi-theatrum.de/1396.html",False,67,53,111,97,,13.511791,43.624604,54
"ascoliPicenoAmphitheater","Amphitheater at Ascoli Picenum","Ascoli","Asculum Picenum","https://pleiades.stoa.org/places/413036","","91","amphitheater","none","imperial",True,,"Italy","regio-v","","https://amphi-theatrum.de/2861.html",False,,,148,125,,13.570767,42.855655,157
"beneventoAmphitheater","Amphitheater at Benevento","Benevento","Beneventum","https://pleiades.stoa.org/places/432721","","","amphitheater","none","republican",True,,"Italy","regio-ii","","https://amphi-theatrum.de/1776.html",True,,,,,,14.781523,41.130009,166
"calviRisortaAmphitheater","Amphitheater at Calvi Risorta","Calvi Risorto","Cales","https://pleiades.stoa.org/places/432739","6","","amphitheater","none","republican",True,,"Italy","regio-i","","https://amphi-theatrum.de/1462.html",False,87,,110,72,,14.137993,41.202429,89
"sanVittorinoAmphitheater","Amphitheater at San Vittorino","San Vittorino","Amiternum","https://pleiades.stoa.org/places/413013","","166","amphitheater","good","first-century",True,20000,"Italy","regio-iv","WU8WU448","https://amphi-theatrum.de/1557.html",False,64,42,90,68,,13.306027,42.400531,672
"beziersAmphitheater","Amphitheater at Béziers","Béziers","Baeterrae","https://pleiades.stoa.org/places/148056","","159","amphitheater","street-plan","imperial",True,13700,"France","narbonensis","LD7NNHSG","https://amphi-theatrum.de/1405.html",False,74,44,104,74,,3.214026,43.339589,56
"agenAmphitheater","Amphitheater at Agen","Agen","Aginnum","https://pleiades.stoa.org/places/138169","","161","amphitheater","none","imperial",True,,"France","aquitania","","https://amphi-theatrum.de/1552.html",True,,,,,,0.622122,44.206545,52
"narbonneAmphitheater","Amphitheater at Narbonne","Narbonne","Narbo","https://pleiades.stoa.org/places/246347","","162","amphitheater","none","flavian",True,,"France","narbonensis","LD7NNHSG","",False,75,46.6,121.6,93.2,,3.010181,43.184873,14
"amiensAmphitheater","Amphitheater at Amiens","Amiens","Samarobriva Ambianorum","https://pleiades.stoa.org/places/109321","","102","amphitheater","none","second-century",True,17848,"France","belgica","","https://amphi-theatrum.de/1384.html",False,55,42,114,100,,2.293485,49.8944,32
"meauxAmphitheater","Amphitheater at Meaux","Meaux","Iatinon","https://pleiades.stoa.org/places/109059","","","amphitheater","none","imperial",True,,"France","lugdunensis","","https://amphi-theatrum.de/2416.html",True,,,,,,2.883491,48.970006,50
"chartresAmphitheater","Amphitheater at Chartres","Chartres","Autricum","https://pleiades.stoa.org/places/108778","","109","amphitheater","none","imperial",True,,"France","lugdunensis","","https://amphi-theatrum.de/1382.html",True,,,,,,1.48926,48.450069,140
"senlisAmphitheater","Amphitheater at Senlis","Senlis","Augustomagus","https://pleiades.stoa.org/places/108776","","21","amphitheater","good","first-century",True,10000,"France","belgica","","https://amphi-theatrum.de/1483.html",False,41.5,34.45,90,83,,2.575376,49.205169,64
"tanetoAmphitheater","Amphitheater at Taneto","Taneto","Tannetum","https://pleiades.stoa.org/places/383791","","","amphitheater","none","imperial",True,,"Italy","regio-viii","B3MAIUMK","https://amphi-theatrum.de/2774.html",False,40,25,50,38,,10.446891,44.76949,49
"toursAmphitheater","Amphitheater at Tours","Tours","Caesarodunum Turonum","https://pleiades.stoa.org/places/138255","","54","amphitheater","good","hadrianic",True,34000,"France","lugdunensis","LD7NNHSG","https://amphi-theatrum.de/1383.html",False,68,50,156,134,,0.696233,47.395342,59
"caistorStEdmundAmphitheater","Amphitheater at Caistor Saint Edmund","Caistor St. Edmund","Venta Icenorum","https://pleiades.stoa.org/places/79735","","","amphitheater","none","imperial",True,,"United Kingdom","britannia","","https://amphi-theatrum.de/1986.html",False,38,32,,,,1.288445,52.579764,7
"capuaRepublicanAmphitheater","Republican Amphitheater at Capua","Capua I","Capua","https://pleiades.stoa.org/places/432754","2","","amphitheater","partial","republican",False,,"Italy","regio-i","","https://amphi-theatrum.de/2081.html",False,,,112,81,,14.250309,41.084593,37
"capuaImperialAmphitheater","Imperial Amphitheater at Capua","Capua II","Capua","https://pleiades.stoa.org/places/432754","","179","amphitheater","good","flavian",True,37000,"Italy","regio-i","WVCF7L6K","https://amphi-theatrum.de/2082.html",False,76.12,45.83,165,135,,14.250089,41.085935,34
"liternoAmphitheater","Amphitheater at Literno","Literno","Liternum","https://pleiades.stoa.org/places/432911","3","","amphitheater","none","republican",True,,"Italy","regio-i","","https://amphi-theatrum.de/1862.html",True,,,,,,14.0304,40.920949,9
"noleAmphitheater","Amphitheater at Nole","Nole","Nola","https://pleiades.stoa.org/places/432981","13","","amphitheater","partial","republican",True,,"Italy","regio-i","","https://amphi-theatrum.de/1594.html",False,,,138,108,,14.52054,40.927702,35
"silchesterAmphitheater","Amphitheater at Silchester","Silchester","Calleva Atrebatum","https://pleiades.stoa.org/places/79368","","40","amphitheater","partial","second-century",True,7147,"United Kingdom","britannia","GMMHKTIJ","https://amphi-theatrum.de/1493.html",False,49,40,80,70,,-1.07547,51.358881,91
"dorchesterAmphitheater","Amphitheater at Dorchester / Maumbury Henge","Maumbury","Durnovaria","https://pleiades.stoa.org/places/79431","","34","amphitheater","partial","flavian",True,7952,"United Kingdom","britannia","GMMHKTIJ","https://amphi-theatrum.de/1491.html",False,58,47,80,77,,-2.440246,50.708044,78
"bragaAmphitheater","Amphitheater at Braga","Braga","Bracara Augusta","https://pleiades.stoa.org/places/236377","","","amphitheater","none","imperial",True,,"Portugal","tarraconensis","","",True,,,,,,-8.430075,41.546669,175
"sisapoAmphitheater","Amphitheater at Sisapo","Sisapo","Sisapo","https://pleiades.stoa.org/places/266043","","","amphitheater","partial","imperial",True,,"Spain","baetica","","",True,,,,,,-4.516667,38.645833,659
"leonAmphitheater","Amphitheater at León","León","Legio","https://pleiades.stoa.org/places/236512","","","amphitheater","none","imperial",True,,"Spain","tarraconensis","7PPS4FPA","",False,60,40,90,70,,-5.566944,42.598889,846
"autunAmphitheater","Amphitheater at Autun","Autun","Augustodunum","https://pleiades.stoa.org/places/177460","","157","amphitheater","none","flavian",True,32189,"France","lugdunensis","","https://amphi-theatrum.de/2680.html",False,74,49,154,130,,4.310856,46.953003,317
"xantenAmphitheater","Amphitheater at Xanten","Xanten","Colonia Ulpia Traiana","https://pleiades.stoa.org/places/108896","","167","amphitheater","good","imperial",True,10000,"Germany","germania-inferior","LD7NNHSG","https://amphi-theatrum.de/1450.html",False,58.5,49,96.5,87,,6.451386,51.667172,21
"arnsburgAmphitheater","Amphitheater at Arnsburg","Arnsburg","","https://pleiades.stoa.org/places/118575","","","amphitheater","none","imperial",True,,"Germany","germania-superior","","https://amphi-theatrum.de/1896.html",False,,,32,,,8.787954,50.485657,163
"ierapetraAmphitheater","Amphitheater at Ierapetra","Ierapetra","Hierapytna","https://pleiades.stoa.org/places/589807","","","amphitheater","partial","imperial",True,,"Greece","crete-et-cyrenaica","WFYFFL7L","https://amphi-theatrum.de/2128.html",False,,,107,87,,25.745132,35.011385,4
"kunzingAmphitheater","Amphitheater at Künzing","Künzing","Quintana","https://pleiades.stoa.org/places/118919","","","amphitheater","none","imperial",True,,"Germany","raetia","","https://amphi-theatrum.de/1876.html",False,,26,42,31,,13.082821,48.667088,308
"noceraSuperioreAmphitheater","Amphitheater at Nocera Superiore","Nocera","Nuceria Alfaterna","https://pleiades.stoa.org/places/432985","","84","amphitheater","none","imperial",True,21162,"Italy","regio-i","","https://amphi-theatrum.de/1515.html",False,58,34,125,102,,14.657022,40.74575,50
"perugiaAmphitheater","Amphitheater at Perugia","Perugia","Perusia","https://pleiades.stoa.org/places/413248","","","amphitheater","none","imperial",True,,"Italy","regio-vi","","",True,,,,,,12.389066,43.107941,451
"bobadelaAmphitheater","Amphitheater at Bobadela","Bobadela","Elbocoris","https://pleiades.stoa.org/places/236458","","","amphitheater","good","flavian",True,,"Portugal","lusitania","","https://amphi-theatrum.de/1975.html",False,50,40,,,,-7.893572,40.361088,383
"sopronAmphitheater","Amphitheater at Sopron","Sopron","Scarabantia","https://pleiades.stoa.org/places/197501","","53","amphitheater","good","imperial",True,,"Hungary","pannonia","","https://amphi-theatrum.de/1456.html",False,,,93,,,16.589397,47.692813,237
